,Manufacturer,ProductName,ReleaseYear,ReleaseMonth,ReleaseDay,DDR_ver,Bandwidth
0,ADATA,AD4S26664G19-SGN,2023,9,4,4,21300
1,ADATA,AD5S48008G-S,2023,9,4,5,38400
2,CFD,CFD Selection D4N3200CM-16GQ,2023,9,4,4,25600
3,ADATA,AD4S26668G19-SGN,2023,9,4,4,21300
4,ADATA,AD4S266616G19-SGN,2023,9,4,4,21300
5,Corsair,CMW8GX4M1Z3200C16,2023,8,29,4,25600
6,サムスン,M323R1GB4DB0-CWM,2023,8,18,5,44800
7,サムスン,M378A2K43EB1-CWE,2023,8,18,4,25600
8,サムスン,M323R2GA3BB0-CQK,2023,8,18,5,38400
9,サムスン,M378A4G43AB2-CWE,2023,8,18,4,25600
10,サムスン,M323R4GA3DB0-CWM,2023,8,18,5,44800
11,ドスパラ 【直販モデル】,D4N3200-16G1A2,2023,8,17,4,25600
12,Mushkin Enhanced,IR4GMP1333D3,2023,8,16,3,10600
13,Mushkin Enhanced,IR8GMP1333D3,2023,8,16,3,10600
14,Mushkin Enhanced,IR16GMP1333D3,2023,8,16,3,10600
15,Silicon Power,SP032GBSFU320F02,2023,7,26,4,25600
16,キングストン,KSM32ES8/16MF,2023,7,25,4,25600
17,ADATA,AD5S480032G-S,2023,7,25,5,38400
18,crucial,CT8G56C46S5,2023,7,24,5,44800
19,crucial,CT8G52C42U5,2023,7,24,5,41600
20,crucial,CT8G56C46U5,2023,7,24,5,44800
21,crucial,CT8G52C42S5,2023,7,24,5,41600
22,crucial,CT24G56C46S5,2023,7,24,5,44800
23,crucial,CT32G56C46U5,2023,7,24,5,44800
24,crucial,CT32G56C46S5,2023,7,24,5,44800
25,crucial,CT48G56C46S5,2023,7,24,5,44800
26,Micron,MTA9ASF2G72PZ-2G9E1R,2023,7,14,4,23400
27,Micron,MTA18ASF2G72PZ-2G9J3R,2023,7,14,4,23400
28,Micron,MTA18ASF4G72PDZ-3G2R,2023,7,14,4,25600
29,Micron,MTA18ASF4G72PDZ-2G9E1R,2023,7,14,4,23400
30,Micron,MTA72ASS8G72LZ-3G2R2R,2023,7,14,4,25600
31,Micron,MTA72ASS16G72LZ-3G2B3R,2023,7,14,4,25600
32,キングストン,KF552C36BBE-16,2023,7,13,5,41600
33,ADATA,AD5S480016G-S,2023,7,10,5,38400
34,CFD,CFD Selection D4N3200CM-8GQ,2023,6,30,4,25600
35,グリーンハウス,GH-DNV4800-8GB,2023,6,27,5,38400
36,グリーンハウス,GH-DRV4800-8GB,2023,6,27,5,38400
37,グリーンハウス,GH-DNV4800-16GB,2023,6,27,5,38400
38,グリーンハウス,GH-DRV4800-16GB,2023,6,27,5,38400
39,グリーンハウス,GH-DNV4800-32GB,2023,6,27,5,38400
40,グリーンハウス,GH-DRV4800-32GB,2023,6,27,5,38400
41,キングストン,KF560C40BBA-8,2023,6,21,5,48000
42,キングストン,KF552C40BBA-16,2023,6,21,5,41600
43,キングストン,KSM26ED8/32MF,2023,6,19,4,21300
44,ADTEC,ADS4800D-R16GSBT,2023,6,16,5,38400
45,ADTEC,ADS4800D-R32GDBT,2023,6,16,5,38400
46,ADTEC,ADS4800D-R32GSAT,2023,6,16,5,38400
47,ADTEC,ADS4800D-R64GDAT,2023,6,16,5,38400
48,Corsair,CMSX8GX4M1A3200C22,2023,6,13,4,25600
49,Silicon Power,SP004GBLFU213N02,2023,6,5,4,17000
50,キングストン,KF436C17BWA/8,2023,6,5,4,28800
51,Silicon Power,SP032GBLFU320F02,2023,6,5,4,25600
52,キングストン,KF560C40BBA-16,2023,6,5,5,48000
53,キングストン,KF552C36BBEA-16,2023,6,5,5,41600
54,キングストン,KF560C36BBE-16,2023,6,5,5,48000
55,キングストン,KF548C38BBA-32,2023,6,5,5,38400
56,crucial,CT16G52C42S5,2023,6,2,5,41600
57,バッファロー,MV-D4U2400-S4G,2023,5,30,4,19200
58,Micron,MTA9ASF2G72AZ-3G2F1R,2023,5,30,4,25600
59,Micron,MTA9ASF2G72PZ-3G2F1R,2023,5,30,4,25600
60,Micron,MTA18ASF4G72AZ-3G2F1R,2023,5,30,4,25600
61,Micron,MTA18ASF4G72PDZ-3G2F1R,2023,5,30,4,25600
62,SPD 【直販モデル】,SDDR426S08G30,2023,5,16,4,21300
63,SPD 【直販モデル】,UDDR426D08G30,2023,5,16,4,21300
64,SPD 【直販モデル】,SDDR432S08G30,2023,5,16,4,25600
65,SPD 【直販モデル】,UDDR432D08G30,2023,5,16,4,25600
66,SPD 【直販モデル】,SDDR426S16G30,2023,5,16,4,21300
67,SPD 【直販モデル】,UDDR426D16G30,2023,5,16,4,21300
68,SPD 【直販モデル】,SDDR432S16G30,2023,5,16,4,25600
69,SPD 【直販モデル】,UDDR432D16G30,2023,5,16,4,25600
70,CENTURY MICRO,CB8G-SOD4U2133H,2023,5,2,4,17000
71,CENTURY MICRO,CB8G-SOD4U2400H,2023,5,2,4,19200
72,CENTURY MICRO,CB8G-SOD4U2666H,2023,5,2,4,21300
73,CENTURY MICRO,CB8G-SOD4U2933H,2023,5,2,4,23400
74,CENTURY MICRO,CB8G-SOD4U3200H,2023,5,2,4,25600
75,CENTURY MICRO,CB8G-D4U2133H,2023,5,1,4,17000
76,CENTURY MICRO,CB8G-D4U2400H,2023,5,1,4,19200
77,CENTURY MICRO,CB8G-D4U2666H,2023,5,1,4,21300
78,CENTURY MICRO,CB8G-D4U2933H,2023,5,1,4,23400
79,CENTURY MICRO,CB8G-D4U3200H,2023,5,1,4,25600
80,CENTURY MICRO,CB8G-D4UE2133H,2023,5,1,4,17000
81,CENTURY MICRO,CB8G-D4UE2666H,2023,5,1,4,21300
82,CENTURY MICRO,CB8G-D4UE2933H,2023,5,1,4,23400
83,CENTURY MICRO,CB8G-D4UE3200H,2023,5,1,4,25600
84,CENTURY MICRO,CB8G-D4RE213381,2023,5,1,4,17000
85,CENTURY MICRO,CB8G-D4RE240081,2023,5,1,4,19200
86,CENTURY MICRO,CB8G-D4RE266681,2023,5,1,4,21300
87,CENTURY MICRO,CB8G-D4RE293381,2023,5,1,4,23400
88,CENTURY MICRO,CB8G-D4RE320081,2023,5,1,4,25600
89,CENTURY MICRO,CB32G-SOD4U2133,2023,5,1,4,17000
